Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:59:10,2018-11-13 11:59:30,20.268s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:59:10,2018-11-13 11:59:21,10.459s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:59:11,2018-11-13 11:59:11,0.067s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:59:11,2018-11-13 11:59:15,4.332s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:59:15,2018-11-13 11:59:16,1.159s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:59:16,2018-11-13 11:59:18,1.142s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:59:18,2018-11-13 11:59:19,1.754s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:59:19,2018-11-13 11:59:20,0.387s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:59:20,2018-11-13 11:59:20,0.263s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:59:20,2018-11-13 11:59:21,0.908s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:59:21,2018-11-13 11:59:23,2.415s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:59:21,2018-11-13 11:59:21,0.008s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:59:21,2018-11-13 11:59:22,0.648s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 11:59:22,2018-11-13 11:59:22,0.279s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 11:59:22,2018-11-13 11:59:23,0.670s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 11:59:23,2018-11-13 11:59:23,0.428s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:59:23,2018-11-13 11:59:29,5.927s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:59:24,2018-11-13 11:59:24,0.002s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 11:59:24,2018-11-13 11:59:29,5.017s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:59:29,2018-11-13 11:59:29,0.519s,FAILED
