Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:33:16,2018-11-13 11:33:56,39.239s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:33:17,2018-11-13 11:33:54,37.489s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:33:17,2018-11-13 11:33:17,0.139s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:33:17,2018-11-13 11:33:21,3.951s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:33:21,2018-11-13 11:33:22,1.155s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:33:22,2018-11-13 11:33:54,31.163s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:33:54,2018-11-13 11:33:54,0.612s,FAILED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:33:54,2018-11-13 11:33:55,0.341s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:33:55,2018-11-13 11:33:55,0.001s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:33:55,2018-11-13 11:33:55,0.056s,FAILED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:33:55,2018-11-13 11:33:55,0.329s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:33:55,2018-11-13 11:33:55,0.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:33:55,2018-11-13 11:33:55,0.033s,FAILED
