Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:09:14,2018-11-13 12:09:41,26.466s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 12:09:15,2018-11-13 12:09:26,11.072s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:09:15,2018-11-13 12:09:15,0.045s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 12:09:15,2018-11-13 12:09:20,4.819s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 12:09:20,2018-11-13 12:09:21,1.146s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 12:09:21,2018-11-13 12:09:22,1.056s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 12:09:22,2018-11-13 12:09:24,1.804s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 12:09:24,2018-11-13 12:09:24,0.447s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 12:09:24,2018-11-13 12:09:25,0.249s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 12:09:25,2018-11-13 12:09:26,1.108s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 12:09:26,2018-11-13 12:09:28,2.554s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:09:26,2018-11-13 12:09:26,0.002s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 12:09:26,2018-11-13 12:09:27,0.721s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 12:09:27,2018-11-13 12:09:27,0.302s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 12:09:27,2018-11-13 12:09:28,0.795s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 12:09:28,2018-11-13 12:09:28,0.340s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:09:28,2018-11-13 12:09:40,11.613s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:09:29,2018-11-13 12:09:29,0.002s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:09:29,2018-11-13 12:09:34,5.017s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:09:34,2018-11-13 12:09:34,0.152s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:09:34,2018-11-13 12:09:34,0.563s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:09:34,2018-11-13 12:09:35,0.392s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:09:35,2018-11-13 12:09:40,5.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:09:40,2018-11-13 12:09:40,0.143s,PASSED
