Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:57:34,2018-11-13 11:57:54,20.031s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:57:34,2018-11-13 11:57:44,9.896s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:57:35,2018-11-13 11:57:35,0.056s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:57:35,2018-11-13 11:57:38,3.518s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:57:38,2018-11-13 11:57:40,1.153s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:57:40,2018-11-13 11:57:41,1.068s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:57:41,2018-11-13 11:57:43,2.029s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:57:43,2018-11-13 11:57:43,0.373s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:57:43,2018-11-13 11:57:43,0.213s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:57:43,2018-11-13 11:57:44,1.024s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:57:44,2018-11-13 11:57:47,2.612s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:57:45,2018-11-13 11:57:45,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:57:45,2018-11-13 11:57:45,0.728s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 11:57:45,2018-11-13 11:57:46,0.267s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 11:57:46,2018-11-13 11:57:46,0.699s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 11:57:46,2018-11-13 11:57:47,0.582s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:57:47,2018-11-13 11:57:53,5.970s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:57:47,2018-11-13 11:57:47,0.006s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 11:57:47,2018-11-13 11:57:52,5.019s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:57:52,2018-11-13 11:57:53,0.457s,FAILED
