Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_basic_info,Chrome 70.0.3538.77,,2018-11-12 17:16:55,2018-11-12 17:17:16,20.787s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 17:16:55,2018-11-12 17:17:04,8.351s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 17:16:56,2018-11-12 17:16:56,0.050s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 17:16:56,2018-11-12 17:16:59,2.996s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 17:16:59,2018-11-12 17:17:00,1.147s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 17:17:00,2018-11-12 17:17:01,0.811s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 17:17:01,2018-11-12 17:17:02,1.486s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 17:17:02,2018-11-12 17:17:02,0.319s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 17:17:02,2018-11-12 17:17:03,0.276s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 17:17:03,2018-11-12 17:17:04,0.909s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 17:17:04,2018-11-12 17:17:07,3.242s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 17:17:04,2018-11-12 17:17:04,0.018s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 17:17:04,2018-11-12 17:17:05,1.268s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 17:17:05,2018-11-12 17:17:05,0.315s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 17:17:05,2018-11-12 17:17:06,1.027s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 17:17:06,2018-11-12 17:17:07,0.298s,PASSED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-12 17:17:07,2018-11-12 17:17:15,8.039s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 17:17:07,2018-11-12 17:17:07,0.001s,PASSED
setText,Chrome 70.0.3538.77,Address 1,2018-11-12 17:17:07,2018-11-12 17:17:08,0.492s,PASSED
setText,Chrome 70.0.3538.77,Address 2,2018-11-12 17:17:08,2018-11-12 17:17:08,0.393s,PASSED
setText,Chrome 70.0.3538.77,City,2018-11-12 17:17:08,2018-11-12 17:17:08,0.318s,PASSED
setText,Chrome 70.0.3538.77,State,2018-11-12 17:17:08,2018-11-12 17:17:09,0.344s,PASSED
setText,Chrome 70.0.3538.77,Pin-code,2018-11-12 17:17:09,2018-11-12 17:17:09,0.265s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Number,2018-11-12 17:17:09,2018-11-12 17:17:09,0.341s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Relationship,2018-11-12 17:17:09,2018-11-12 17:17:10,0.259s,PASSED
click,Chrome 70.0.3538.77,Click 'Update' button,2018-11-12 17:17:10,2018-11-12 17:17:10,0.146s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 17:17:10,2018-11-12 17:17:15,5.018s,PASSED
