Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_profile,IE 11,TO UPDATE BASIC/PERSONAL/ACCOUNT/ACADEMIC INFORMATION,2018-11-13 14:37:28,2018-11-13 14:38:28,59.752s,FAILED
,,,,,,
Test Cases/Login Page,IE 11,,2018-11-13 14:37:29,2018-11-13 14:38:25,56.671s,FAILED
comment,IE 11,,2018-11-13 14:37:30,2018-11-13 14:37:30,0.086s,PASSED
openBrowser,IE 11,,2018-11-13 14:37:30,2018-11-13 14:37:40,10.828s,PASSED
maximizeWindow,IE 11,,2018-11-13 14:37:40,2018-11-13 14:37:40,0.039s,PASSED
navigateToUrl,IE 11,JIN URL,2018-11-13 14:37:40,2018-11-13 14:37:47,6.847s,PASSED
setText,IE 11,Enter 'Email',2018-11-13 14:37:47,2018-11-13 14:38:25,38.158s,FAILED
,,,,,,
Test Cases/Profile,IE 11,Update profile,2018-11-13 14:38:25,2018-11-13 14:38:26,0.343s,FAILED
comment,IE 11,,2018-11-13 14:38:26,2018-11-13 14:38:26,0.002s,PASSED
click,IE 11,Click on drow-arrow icon on top right corner,2018-11-13 14:38:26,2018-11-13 14:38:26,0.039s,FAILED
,,,,,,
Test Cases/basic_info,IE 11,Update Basic info of user,2018-11-13 14:38:26,2018-11-13 14:38:26,0.544s,FAILED
comment,IE 11,,2018-11-13 14:38:26,2018-11-13 14:38:26,0.002s,PASSED
setText,IE 11,Address 1,2018-11-13 14:38:26,2018-11-13 14:38:26,0.076s,FAILED
,,,,,,
Test Cases/Academic_info,IE 11,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-13 14:38:26,2018-11-13 14:38:27,0.338s,FAILED
comment,IE 11,,2018-11-13 14:38:27,2018-11-13 14:38:27,0.001s,PASSED
click,IE 11,Click 'Academic Inforomation' tab,2018-11-13 14:38:27,2018-11-13 14:38:27,0.040s,FAILED
,,,,,,
Test Cases/Personal_info,IE 11,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 14:38:27,2018-11-13 14:38:27,0.370s,FAILED
comment,IE 11,,2018-11-13 14:38:27,2018-11-13 14:38:27,0.002s,PASSED
click,IE 11,"Click ""Personal Information' tab

",2018-11-13 14:38:27,2018-11-13 14:38:27,0.060s,FAILED
,,,,,,
Test Cases/account_info,IE 11,TO UPDATE ACCOUNT INFORMATION OF LOGGED IN USER,2018-11-13 14:38:27,2018-11-13 14:38:27,0.278s,FAILED
comment,IE 11,,2018-11-13 14:38:27,2018-11-13 14:38:27,0.001s,PASSED
click,IE 11,"Click 'Account Information' tab
",2018-11-13 14:38:27,2018-11-13 14:38:27,0.056s,FAILED
