Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_basic_info,Chrome 70.0.3538.77,,2018-11-12 16:59:22,2018-11-12 17:00:08,46.653s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 16:59:22,2018-11-12 16:59:32,10.258s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 16:59:22,2018-11-12 16:59:23,0.048s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 16:59:23,2018-11-12 16:59:26,3.353s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 16:59:26,2018-11-12 16:59:27,1.148s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 16:59:27,2018-11-12 16:59:29,1.696s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 16:59:29,2018-11-12 16:59:30,1.605s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 16:59:30,2018-11-12 16:59:31,0.302s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 16:59:31,2018-11-12 16:59:31,0.229s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 16:59:31,2018-11-12 16:59:32,1.526s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 16:59:32,2018-11-12 16:59:35,3.082s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-12 16:59:33,2018-11-12 16:59:33,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 16:59:33,2018-11-12 16:59:34,0.850s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 16:59:34,2018-11-12 16:59:34,0.299s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 16:59:34,2018-11-12 16:59:35,1.564s,FAILED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-12 16:59:36,2018-11-12 17:00:08,32.160s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-12 16:59:36,2018-11-12 16:59:36,0.002s,PASSED
setText,Chrome 70.0.3538.77,Address 1,2018-11-12 16:59:36,2018-11-12 17:00:08,31.703s,FAILED
