Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_academic_info,Chrome 70.0.3538.77,TO UPDATE LOGGED IN USER ACADEMIC INFO,2018-11-12 19:38:25,2018-11-12 19:38:48,22.983s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 19:38:26,2018-11-12 19:38:37,10.867s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 19:38:26,2018-11-12 19:38:26,0.046s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 19:38:26,2018-11-12 19:38:30,4.125s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 19:38:30,2018-11-12 19:38:32,1.141s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 19:38:32,2018-11-12 19:38:33,1.248s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 19:38:33,2018-11-12 19:38:35,1.912s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 19:38:35,2018-11-12 19:38:35,0.477s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 19:38:35,2018-11-12 19:38:35,0.224s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 19:38:35,2018-11-12 19:38:37,1.285s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 19:38:37,2018-11-12 19:38:39,2.260s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 19:38:37,2018-11-12 19:38:37,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 19:38:37,2018-11-12 19:38:38,0.412s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 19:38:38,2018-11-12 19:38:38,0.320s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 19:38:38,2018-11-12 19:38:39,0.803s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 19:38:39,2018-11-12 19:38:39,0.339s,PASSED
,,,,,,
Test Cases/Academic_info,Chrome 70.0.3538.77,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-12 19:38:39,2018-11-12 19:38:48,8.545s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 19:38:39,2018-11-12 19:38:39,0.002s,PASSED
click,Chrome 70.0.3538.77,Click 'Academic Inforomation' tab,2018-11-12 19:38:39,2018-11-12 19:38:40,0.219s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Qualification',2018-11-12 19:38:40,2018-11-12 19:38:40,0.357s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Degree',2018-11-12 19:38:40,2018-11-12 19:38:40,0.357s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Specialization',2018-11-12 19:38:40,2018-11-12 19:38:41,0.574s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Name Of The Institution',2018-11-12 19:38:41,2018-11-12 19:38:42,0.646s,PASSED
setText,Chrome 70.0.3538.77,Enter 'University',2018-11-12 19:38:42,2018-11-12 19:38:42,0.223s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Year Of Passing',2018-11-12 19:38:42,2018-11-12 19:38:42,0.255s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Percentage',2018-11-12 19:38:42,2018-11-12 19:38:42,0.277s,PASSED
click,Chrome 70.0.3538.77,Click 'Update' button,2018-11-12 19:38:42,2018-11-12 19:38:43,0.208s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 19:38:43,2018-11-12 19:38:48,5.020s,PASSED
