Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:00:01,2018-11-13 12:00:21,19.939s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 12:00:02,2018-11-13 12:00:11,9.579s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:00:02,2018-11-13 12:00:02,0.057s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 12:00:02,2018-11-13 12:00:06,3.452s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 12:00:06,2018-11-13 12:00:07,1.155s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 12:00:07,2018-11-13 12:00:08,1.024s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 12:00:08,2018-11-13 12:00:10,1.915s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 12:00:10,2018-11-13 12:00:10,0.302s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 12:00:10,2018-11-13 12:00:10,0.192s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 12:00:10,2018-11-13 12:00:11,1.035s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 12:00:11,2018-11-13 12:00:14,2.836s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:00:12,2018-11-13 12:00:12,0.011s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 12:00:12,2018-11-13 12:00:12,0.740s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 12:00:12,2018-11-13 12:00:13,0.397s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 12:00:13,2018-11-13 12:00:14,0.958s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 12:00:14,2018-11-13 12:00:14,0.366s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:00:14,2018-11-13 12:00:20,6.190s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 12:00:15,2018-11-13 12:00:15,0.005s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:00:15,2018-11-13 12:00:20,5.016s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:00:20,2018-11-13 12:00:20,0.240s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:00:20,2018-11-13 12:00:20,0.486s,FAILED
