Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_academic_info,Chrome 70.0.3538.77,TO UPDATE LOGGED IN USER ACADEMIC INFO,2018-11-12 18:52:53,2018-11-12 18:53:21,27.573s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 18:52:54,2018-11-12 18:53:04,10.176s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:52:54,2018-11-12 18:52:54,0.049s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 18:52:54,2018-11-12 18:52:57,3.500s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 18:52:57,2018-11-12 18:52:59,1.138s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 18:52:59,2018-11-12 18:53:00,1.116s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 18:53:00,2018-11-12 18:53:02,1.865s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 18:53:02,2018-11-12 18:53:02,0.431s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 18:53:02,2018-11-12 18:53:02,0.243s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 18:53:02,2018-11-12 18:53:04,1.452s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 18:53:04,2018-11-12 18:53:06,2.425s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:53:04,2018-11-12 18:53:04,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 18:53:04,2018-11-12 18:53:05,0.462s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 18:53:05,2018-11-12 18:53:05,0.382s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 18:53:05,2018-11-12 18:53:06,0.843s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 18:53:06,2018-11-12 18:53:06,0.350s,PASSED
,,,,,,
Test Cases/Academic_info,Chrome 70.0.3538.77,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-12 18:53:06,2018-11-12 18:53:20,13.452s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-12 18:53:07,2018-11-12 18:53:07,0.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:53:07,2018-11-12 18:53:07,0.184s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:07,2018-11-12 18:53:07,0.396s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:07,2018-11-12 18:53:07,0.283s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:07,2018-11-12 18:53:08,0.598s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:08,2018-11-12 18:53:08,0.240s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:08,2018-11-12 18:53:08,0.269s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:53:08,2018-11-12 18:53:13,5.011s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:13,2018-11-12 18:53:14,0.245s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:53:14,2018-11-12 18:53:14,0.277s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:53:14,2018-11-12 18:53:19,5.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:53:19,2018-11-12 18:53:20,0.551s,FAILED
