Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_basic_info,Chrome 70.0.3538.77,,2018-11-13 11:43:59,2018-11-13 11:44:24,24.374s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:44:00,2018-11-13 11:44:11,11.202s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:44:00,2018-11-13 11:44:00,0.054s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:44:00,2018-11-13 11:44:04,3.419s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:44:04,2018-11-13 11:44:05,1.152s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:44:05,2018-11-13 11:44:06,1.145s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:44:06,2018-11-13 11:44:08,1.947s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:44:08,2018-11-13 11:44:08,0.492s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:44:08,2018-11-13 11:44:09,0.345s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:44:09,2018-11-13 11:44:11,2.200s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:44:11,2018-11-13 11:44:14,2.730s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:44:11,2018-11-13 11:44:11,0.005s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:44:11,2018-11-13 11:44:11,0.176s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 11:44:11,2018-11-13 11:44:12,0.988s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 11:44:12,2018-11-13 11:44:13,0.705s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 11:44:13,2018-11-13 11:44:14,0.484s,PASSED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-13 11:44:14,2018-11-13 11:44:23,9.089s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:44:14,2018-11-13 11:44:14,0.002s,PASSED
setText,Chrome 70.0.3538.77,Address 1,2018-11-13 11:44:14,2018-11-13 11:44:15,0.698s,PASSED
setText,Chrome 70.0.3538.77,Address 2,2018-11-13 11:44:15,2018-11-13 11:44:15,0.549s,PASSED
setText,Chrome 70.0.3538.77,City,2018-11-13 11:44:15,2018-11-13 11:44:16,0.381s,PASSED
setText,Chrome 70.0.3538.77,State,2018-11-13 11:44:16,2018-11-13 11:44:16,0.414s,PASSED
setText,Chrome 70.0.3538.77,Pin-code,2018-11-13 11:44:16,2018-11-13 11:44:17,0.347s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Number,2018-11-13 11:44:17,2018-11-13 11:44:17,0.511s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Relationship,2018-11-13 11:44:17,2018-11-13 11:44:18,0.419s,PASSED
click,Chrome 70.0.3538.77,Click 'Update' button,2018-11-13 11:44:18,2018-11-13 11:44:18,0.211s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 11:44:18,2018-11-13 11:44:23,5.014s,PASSED
