Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_academic_info,Chrome 70.0.3538.77,TO UPDATE LOGGED IN USER ACADEMIC INFO,2018-11-12 18:38:29,2018-11-12 18:38:48,19.420s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 18:38:29,2018-11-12 18:38:38,8.955s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:38:30,2018-11-12 18:38:30,0.045s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 18:38:30,2018-11-12 18:38:33,3.521s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 18:38:33,2018-11-12 18:38:34,1.141s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 18:38:34,2018-11-12 18:38:35,0.955s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 18:38:35,2018-11-12 18:38:37,1.471s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 18:38:37,2018-11-12 18:38:37,0.297s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 18:38:37,2018-11-12 18:38:37,0.128s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 18:38:37,2018-11-12 18:38:38,1.005s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 18:38:38,2018-11-12 18:38:40,1.671s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:38:38,2018-11-12 18:38:38,0.002s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 18:38:38,2018-11-12 18:38:39,0.361s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 18:38:39,2018-11-12 18:38:39,0.259s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 18:38:39,2018-11-12 18:38:39,0.471s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 18:38:39,2018-11-12 18:38:40,0.300s,PASSED
,,,,,,
Test Cases/Academic_info,Chrome 70.0.3538.77,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-12 18:38:40,2018-11-12 18:38:47,7.627s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-12 18:38:40,2018-11-12 18:38:40,0.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:38:40,2018-11-12 18:38:40,0.098s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:40,2018-11-12 18:38:40,0.321s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:40,2018-11-12 18:38:41,0.267s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:41,2018-11-12 18:38:41,0.504s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:41,2018-11-12 18:38:41,0.224s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:41,2018-11-12 18:38:42,0.235s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:38:42,2018-11-12 18:38:42,0.231s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:38:42,2018-11-12 18:38:47,5.010s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:38:47,2018-11-12 18:38:47,0.471s,FAILED
