Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_profile,Chrome 70.0.3538.77,TO UPDATE BASIC/PERSONAL/ACCOUNT/ACADEMIC INFORMATION,2018-11-13 14:35:59,2018-11-13 14:36:42,43.623s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 14:35:59,2018-11-13 14:36:08,9.301s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 14:35:59,2018-11-13 14:35:59,0.048s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:35:59,2018-11-13 14:36:03,3.551s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 14:36:03,2018-11-13 14:36:04,1.146s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 14:36:04,2018-11-13 14:36:05,1.083s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 14:36:05,2018-11-13 14:36:07,1.592s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 14:36:07,2018-11-13 14:36:07,0.393s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 14:36:07,2018-11-13 14:36:08,0.300s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 14:36:08,2018-11-13 14:36:08,0.807s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 14:36:08,2018-11-13 14:36:11,2.565s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 14:36:09,2018-11-13 14:36:09,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 14:36:09,2018-11-13 14:36:10,0.791s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 14:36:10,2018-11-13 14:36:10,0.345s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 14:36:10,2018-11-13 14:36:11,0.677s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 14:36:11,2018-11-13 14:36:11,0.349s,PASSED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-13 14:36:11,2018-11-13 14:36:20,8.883s,PASSED
