Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:00:55,2018-11-13 12:01:21,26.249s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 12:00:56,2018-11-13 12:01:05,9.684s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:00:56,2018-11-13 12:00:56,0.053s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 12:00:56,2018-11-13 12:00:59,3.334s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 12:00:59,2018-11-13 12:01:01,1.154s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 12:01:01,2018-11-13 12:01:02,1.008s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 12:01:02,2018-11-13 12:01:04,1.906s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 12:01:04,2018-11-13 12:01:04,0.399s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 12:01:04,2018-11-13 12:01:04,0.206s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 12:01:04,2018-11-13 12:01:05,1.183s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 12:01:05,2018-11-13 12:01:08,2.717s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:01:06,2018-11-13 12:01:06,0.004s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 12:01:06,2018-11-13 12:01:07,0.813s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 12:01:07,2018-11-13 12:01:07,0.294s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 12:01:07,2018-11-13 12:01:08,0.878s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 12:01:08,2018-11-13 12:01:08,0.347s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:01:08,2018-11-13 12:01:20,12.407s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 12:01:08,2018-11-13 12:01:08,0.001s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:01:08,2018-11-13 12:01:14,5.037s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:01:14,2018-11-13 12:01:14,0.178s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:01:14,2018-11-13 12:01:14,0.607s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:01:14,2018-11-13 12:01:15,0.614s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:01:15,2018-11-13 12:01:20,5.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:01:20,2018-11-13 12:01:20,0.537s,FAILED
