Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:56:28,2018-11-13 11:56:45,17.111s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:56:28,2018-11-13 11:56:40,12.116s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:56:29,2018-11-13 11:56:29,0.053s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:56:29,2018-11-13 11:56:33,4.446s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:56:33,2018-11-13 11:56:34,1.148s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:56:34,2018-11-13 11:56:36,1.348s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:56:36,2018-11-13 11:56:39,2.784s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:56:39,2018-11-13 11:56:39,0.467s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:56:39,2018-11-13 11:56:39,0.253s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:56:39,2018-11-13 11:56:40,1.105s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:56:40,2018-11-13 11:56:43,2.711s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:56:41,2018-11-13 11:56:41,0.012s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:56:41,2018-11-13 11:56:42,0.731s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 11:56:42,2018-11-13 11:56:42,0.392s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 11:56:42,2018-11-13 11:56:43,0.846s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 11:56:43,2018-11-13 11:56:43,0.338s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:56:43,2018-11-13 11:56:44,0.903s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:56:44,2018-11-13 11:56:44,0.004s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:56:44,2018-11-13 11:56:44,0.504s,FAILED
