Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:10:09,2018-11-13 12:10:29,19.695s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 12:10:09,2018-11-13 12:10:18,8.959s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:10:10,2018-11-13 12:10:10,0.048s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 12:10:10,2018-11-13 12:10:13,3.351s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 12:10:13,2018-11-13 12:10:14,1.166s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 12:10:14,2018-11-13 12:10:15,0.839s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 12:10:15,2018-11-13 12:10:17,1.515s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 12:10:17,2018-11-13 12:10:17,0.395s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 12:10:17,2018-11-13 12:10:17,0.232s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 12:10:17,2018-11-13 12:10:18,0.990s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 12:10:18,2018-11-13 12:10:21,2.564s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:10:19,2018-11-13 12:10:19,0.008s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 12:10:19,2018-11-13 12:10:19,0.669s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 12:10:19,2018-11-13 12:10:20,0.355s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 12:10:20,2018-11-13 12:10:21,0.685s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 12:10:21,2018-11-13 12:10:21,0.472s,PASSED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 12:10:21,2018-11-13 12:10:28,6.881s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 12:10:21,2018-11-13 12:10:21,0.004s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:10:21,2018-11-13 12:10:22,0.210s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:10:22,2018-11-13 12:10:22,0.531s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 12:10:22,2018-11-13 12:10:23,0.488s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 12:10:23,2018-11-13 12:10:23,0.216s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 12:10:23,2018-11-13 12:10:28,5.015s,PASSED
