Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_basic_info,Chrome 70.0.3538.77,,2018-11-12 16:41:34,2018-11-12 16:41:58,23.757s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 16:41:35,2018-11-12 16:41:51,15.807s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 16:41:35,2018-11-12 16:41:35,0.071s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 16:41:35,2018-11-12 16:41:42,7.263s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 16:41:42,2018-11-12 16:41:44,1.135s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 16:41:44,2018-11-12 16:41:46,2.263s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 16:41:46,2018-11-12 16:41:48,1.923s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 16:41:48,2018-11-12 16:41:48,0.380s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 16:41:48,2018-11-12 16:41:48,0.228s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 16:41:48,2018-11-12 16:41:51,2.171s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 16:41:51,2018-11-12 16:41:53,2.367s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 16:41:51,2018-11-12 16:41:51,0.002s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 16:41:51,2018-11-12 16:41:51,0.370s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 16:41:51,2018-11-12 16:41:52,0.347s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 16:41:52,2018-11-12 16:41:53,1.024s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 16:41:53,2018-11-12 16:41:53,0.319s,PASSED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-12 16:41:53,2018-11-12 16:41:57,4.013s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 16:41:53,2018-11-12 16:41:53,0.001s,PASSED
setText,Chrome 70.0.3538.77,Address 1,2018-11-12 16:41:53,2018-11-12 16:41:54,0.501s,PASSED
setText,Chrome 70.0.3538.77,Address 2,2018-11-12 16:41:54,2018-11-12 16:41:55,1.156s,PASSED
setText,Chrome 70.0.3538.77,City,2018-11-12 16:41:55,2018-11-12 16:41:56,0.385s,PASSED
setText,Chrome 70.0.3538.77,State,2018-11-12 16:41:56,2018-11-12 16:41:56,0.357s,PASSED
setText,Chrome 70.0.3538.77,Pin-code,2018-11-12 16:41:56,2018-11-12 16:41:56,0.417s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Number,2018-11-12 16:41:56,2018-11-12 16:41:57,0.349s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Relationship,2018-11-12 16:41:57,2018-11-12 16:41:57,0.294s,PASSED
click,Chrome 70.0.3538.77,Click 'Update' button,2018-11-12 16:41:57,2018-11-12 16:41:57,0.191s,PASSED
