Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:31:56,2018-11-13 11:32:12,16.336s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:31:56,2018-11-13 11:32:07,11.225s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 11:31:57,2018-11-13 11:31:57,0.050s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:31:57,2018-11-13 11:32:01,4.310s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:32:01,2018-11-13 11:32:02,1.175s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:32:02,2018-11-13 11:32:04,1.714s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:32:04,2018-11-13 11:32:06,1.960s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:32:06,2018-11-13 11:32:06,0.439s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:32:06,2018-11-13 11:32:06,0.212s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:32:06,2018-11-13 11:32:07,0.952s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:32:07,2018-11-13 11:32:10,3.037s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:32:08,2018-11-13 11:32:08,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:32:08,2018-11-13 11:32:09,0.891s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 11:32:09,2018-11-13 11:32:09,0.269s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 11:32:09,2018-11-13 11:32:10,1.448s,FAILED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:32:10,2018-11-13 11:32:11,0.667s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:32:11,2018-11-13 11:32:11,0.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:32:11,2018-11-13 11:32:11,0.385s,FAILED
