Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_academic_info,Chrome 70.0.3538.77,TO UPDATE LOGGED IN USER ACADEMIC INFO,2018-11-12 18:48:11,2018-11-12 18:48:42,31.590s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 18:48:11,2018-11-12 18:48:25,13.608s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:48:11,2018-11-12 18:48:11,0.068s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 18:48:11,2018-11-12 18:48:17,5.725s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 18:48:17,2018-11-12 18:48:18,1.133s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 18:48:18,2018-11-12 18:48:20,2.152s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 18:48:20,2018-11-12 18:48:22,2.053s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 18:48:22,2018-11-12 18:48:23,0.425s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 18:48:23,2018-11-12 18:48:23,0.326s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 18:48:23,2018-11-12 18:48:25,1.308s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 18:48:25,2018-11-12 18:48:27,2.365s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:48:25,2018-11-12 18:48:25,0.004s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 18:48:25,2018-11-12 18:48:25,0.438s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 18:48:25,2018-11-12 18:48:26,0.399s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 18:48:26,2018-11-12 18:48:26,0.629s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 18:48:26,2018-11-12 18:48:27,0.457s,PASSED
,,,,,,
Test Cases/Academic_info,Chrome 70.0.3538.77,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-12 18:48:27,2018-11-12 18:48:41,14.227s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-12 18:48:27,2018-11-12 18:48:27,0.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:48:27,2018-11-12 18:48:28,0.284s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:28,2018-11-12 18:48:28,0.611s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:28,2018-11-12 18:48:29,0.285s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:29,2018-11-12 18:48:29,0.762s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:29,2018-11-12 18:48:30,0.333s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:30,2018-11-12 18:48:30,0.428s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:48:30,2018-11-12 18:48:35,5.012s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-12 18:48:35,2018-11-12 18:48:35,0.316s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:48:35,2018-11-12 18:48:40,5.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-12 18:48:40,2018-11-12 18:48:41,0.763s,FAILED
