Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_account_info,Chrome 70.0.3538.77,,2018-11-13 13:56:23,2018-11-13 13:56:42,18.642s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 13:56:23,2018-11-13 13:56:32,8.746s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 13:56:24,2018-11-13 13:56:24,0.046s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 13:56:24,2018-11-13 13:56:27,3.246s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 13:56:27,2018-11-13 13:56:28,1.143s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 13:56:28,2018-11-13 13:56:29,0.932s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 13:56:29,2018-11-13 13:56:31,1.714s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 13:56:31,2018-11-13 13:56:31,0.295s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 13:56:31,2018-11-13 13:56:31,0.228s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 13:56:31,2018-11-13 13:56:32,0.765s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 13:56:32,2018-11-13 13:56:34,1.888s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 13:56:32,2018-11-13 13:56:32,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 13:56:32,2018-11-13 13:56:33,0.515s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 13:56:33,2018-11-13 13:56:33,0.260s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 13:56:33,2018-11-13 13:56:34,0.476s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 13:56:34,2018-11-13 13:56:34,0.371s,PASSED
,,,,,,
Test Cases/account_info,Chrome 70.0.3538.77,TO UPDATE ACCOUNT INFORMATION OF LOGGED IN USER,2018-11-13 13:56:34,2018-11-13 13:56:41,6.810s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 13:56:34,2018-11-13 13:56:34,0.138s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:56:34,2018-11-13 13:56:35,0.377s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:56:35,2018-11-13 13:56:35,0.380s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:56:35,2018-11-13 13:56:36,0.466s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 13:56:36,2018-11-13 13:56:36,0.168s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 13:56:36,2018-11-13 13:56:41,5.015s,PASSED
